model,horizon_years,n_forecasts,ME,MPE,MAE,RMSE,MAPE
Rolling AR,3,26,10.131830955055579,0.15748795320318584,35.32816650077925,48.95190574667282,0.4470151332353819
Rolling AR,5,24,-5.4070593576043215,-0.01920266896032267,35.94821232548909,51.23785520926568,0.3794642093454734
Rolling AR + Futures,3,9,17.96027252948569,0.3251345767618268,40.109557315685976,52.51059909709172,0.5491144320459388
Rolling AR + Futures,5,7,7.571707068338832,0.24416878029414435,36.6143638967961,53.2303347832366,0.5391371932907426
